# Issue #153 strict inventory of Quarkdown v2.5.1 layout, pagination, style, and document configuration.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=4a9112a9ee840374350dd9a90b65f58cce96eb08
# declared_total=47
# declared_153_owned=20
# declared_cross_owned=27
# Columns: kind	canonical_name	source_declaration	aliases	ownership	status	signature	annotations	pinned_provenance	scribium_evidence	remaining_gap	follow_up
owned	numbering	numbering	none	#153	PARSED_ONLY	numbering(context[injected]: MutableContext, merge[likely-named]: Boolean = true, formats[likely-body]: Map<String, Value<String>>) -> VoidValue	@QFunction; @LikelyNamed(merge); @LikelyBody(formats)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L447-L484;DocumentNumbering.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L11-L30;NumberingFormat.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L126-L173	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No evaluator binding for the body dictionary, numbering-format parser, document-type defaults, merge/replace mutation, or numbering-aware output; the exact upstream storage model also reparses every input key into extra in addition to typed built-ins.	#175;all-input-keys-in-extra;#165-#167;frozen until #156
owned	nonumbering	disableNumbering	none	#153	PARSED_ONLY	nonumbering(context[injected]: MutableContext) -> VoidValue	@QFunction; @Name("nonumbering")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L491-L495;DocumentNumbering.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L11-L30	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No semantic reset-to-empty numbering mutation or numbering-aware output; parser retention is not support.	#175;#165-#167;frozen until #156
owned	font	font	none	#153	PARSED_ONLY	font(context[injected]: MutableContext, main: String? = null, heading[likely-named]: String? = null, code[likely-named]: String? = null, size[likely-named]: Size? = null) -> VoidValue	@QFunction; @LikelyNamed(heading,code,size)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L529-L551;FontInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L7-L21;FontFamily.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L1-L80	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;value_model_audit::typed_domain_boundary	No document font state, media/font-family resolution, append priority, size replacement, or Typst/HTML font lowering.	#175;#166-#167;frozen until #156
owned	paragraphstyle	paragraphStyle	none	#153	PARSED_ONLY	paragraphstyle(context[injected]: MutableContext, lineheight[alias]: Number? = null, letterspacing[alias]: Number? = null, spacing[likely-named]: Number? = null, indent[likely-named]: Number? = null) -> VoidValue	@QFunction; @Name("paragraphstyle"); @Name(lineheight); @Name(letterspacing); @LikelyNamed(spacing,indent)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L568-L591;ParagraphStyleInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L5-L18	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;value_model_audit::typed_domain_boundary	No nullable style fields, renderer-default inheritance, locale interaction, merge mutation, or output lowering.	#175;#165-#167;frozen until #156
owned	captionposition	captionPosition	code	#153	PARTIAL	captionposition(context[injected]: MutableContext, default[likely-named]: CaptionPosition? = null, figures[likely-named]: CaptionPosition? = null, tables[likely-named]: CaptionPosition? = null, code[alias]: CaptionPosition? = null) -> VoidValue	@QFunction; @Name("captionposition"); @LikelyNamed(default,figures,tables); @Name("code")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L601-L623;CaptionPosition.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L15;CaptionPositionInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L5-L22	evaluator.rs#L3723-L3865;ir/lib.rs#L112-L135;core-tests::captionposition_*;ir-tests::document_state_roundtrips_deterministically_and_defaults_for_old_ir;fixtures/quarkdown-conformance/cases/captionposition-document-state	Evaluator/IR semantics are bounded and output is intentionally unimplemented; upstream raw block-body fallback to final code parameter is unavailable at the current raw-body boundary.	#145/#146;#166;#158;#160;frozen until #156
owned	texmacro	texMacro	none	#153	PARSED_ONLY	texmacro(context[injected]: MutableContext, name: String, macro[likely-body]: String) -> VoidValue	@QFunction; @Name("texmacro"); @LikelyBody(macro)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L637-L651;TexInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L3-L8	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;value_model_audit::dynamic_content_boundary	No raw macro body binding, document TeX map, math consumer, or backend-neutral representation.	#175;#166;#167;frozen until #156
owned	pageformat	pageFormat	none	#153	PARSED_ONLY	pageformat(context[injected]: MutableContext, side[likely-named]: PageSide? = null, pages[alias]: Range? = null, size[alias]: PageSizeFormat? = null, orientation[likely-named]: PageOrientation = context.documentInfo.type.preferredOrientation, width[likely-named]: Size? = null, height[likely-named]: Size? = null, margin[likely-named]: Sizes? = null, bordertop[alias]: Size? = null, borderright[alias]: Size? = null, borderbottom[alias]: Size? = null, borderleft[alias]: Size? = null, bordercolor[alias]: Color? = null, background[alias]: Color? = null, columns[likely-named]: Int? = null, alignment[likely-named]: NodeStyle.TextAlignment? = null) -> VoidValue	@QFunction; @Name("pageformat"); @LikelyNamed(side,orientation,width,height,margin,columns,alignment); @Name(pages,size,bordertop,borderright,borderbottom,borderleft,bordercolor,background)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L705-L762;DocumentLayoutInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L37;PageFormatInfo.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L10-L66;PageSizeFormat.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L8-L49;PageSide.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L18	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;value_model_audit::size_and_domain_boundary	No typed page format, orientation/side/range conversion, layer precedence, document-type default, or output page geometry; the public border-side contract also requires partial-side zeroing when any side is supplied, while no side supplied keeps contentBorderWidth null for inheritance.	#175;border-side-zeroing;#165-#167;frozen until #156
owned	pagemargin	pageMarginContent	none	#153	PARSED_ONLY	pagemargin(position: PageMarginPosition, content[likely-body]: MarkdownContent) -> NodeValue	@QFunction; @Name("pagemargin"); @LikelyBody(content)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L776-L785;PageMarginPosition.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L64;PageMarginContentInitializer.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L18	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No closed margin-position conversion, structured node, repeated-page semantics, or page-margin backend behavior.	#176;#165-#167;frozen until #156
owned	footer	footer	none	#153	PARSED_ONLY	footer(content[likely-body]: MarkdownContent) -> NodeValue	@QFunction; @LikelyBody(content)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L798-L805;PageMarginContentInitializer.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L18	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No footer sugar node, repeated-page content behavior, or output support.	#176;#165-#167;frozen until #156
owned	currentpage	currentPage	none	#153	PARSED_ONLY	currentpage() -> NodeValue	@QFunction; @Name("currentpage")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L815-L817;PageCounter.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L28	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No page-counter IR node or renderer placeholder behavior for plain documents.	#176;#175;frozen until #156
owned	totalpages	totalPages	none	#153	PARSED_ONLY	totalpages() -> NodeValue	@QFunction; @Name("totalpages")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L827-L829;PageCounter.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L28	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No total-page counter representation or renderer output.	#176;#175;frozen until #156
